query,category,wayback_url,chatnoir_url,file_name,uuid
absorption of poison,knowledge,http://web.archive.org/web/20111010071947/http://www.ambulancetechnicianstudy.co.uk:80/poisons.html,https://www.chatnoir.eu/cache?uuid=2fd3be52-175c-5d15-8f00-e381fe69a214&amp;index=cw12&amp;raw,absorption-of-poison.pdf,2fd3be52-175c-5d15-8f00-e381fe69a214
angular cheilitis,health,http://web.archive.org/web/20120304144803/http://www.angularcheilitistreatments.com/angular-cheilitis-articles.html,https://www.chatnoir.eu/cache?uuid=76f5777c-21e5-5cdf-93eb-acbf6489a5b9&amp;index=cw12&amp;raw,angular-cheilitis.pdf,76f5777c-21e5-5cdf-93eb-acbf6489a5b9
anthrax and bioterrorism,crime,http://web.archive.org/web/20111123155126/http://www.amoa.com:80/disaster/bioterrorism_anthrax.shtml,https://www.chatnoir.eu/cache?uuid=f8d1ae7f-8130-5883-b65d-14b42997d96b&amp;index=cw12&amp;raw,anthrax-and-bioterrorism.pdf,f8d1ae7f-8130-5883-b65d-14b42997d96b
Artists Against Fracking,politics,http://web.archive.org/web/20120416175410/http://www.exitart.org:80/sea/fracking.html,https://www.chatnoir.eu/cache?uuid=988a4554-89ad-514d-b8a9-94813bec19d6&amp;index=cw12&amp;raw,artists-against-fracking.pdf,988a4554-89ad-514d-b8a9-94813bec19d6
baby names,personal,http://web.archive.org/web/20120211164112/http://www.babycenter.com:80/baby-names,https://www.chatnoir.eu/cache?uuid=172cf60e-ec75-5a3a-97ab-5bb73002dbd2&amp;index=cw12&amp;raw,baby-names.pdf,172cf60e-ec75-5a3a-97ab-5bb73002dbd2
balding cure,personal,http://web.archive.org/web/20110729123950/http://www.sainiherb.com:80/articles/Balding-articles.html,https://www.chatnoir.eu/cache?uuid=9b3f460c-f290-5d68-9c1e-3b3c2f421f95&amp;index=cw12&amp;raw,balding-cure.pdf,9b3f460c-f290-5d68-9c1e-3b3c2f421f95
becoming a paralegal,personal,http://web.archive.org/web/20150912153542/http://saeu.sc.edu/paralegal/paralegal-resources/becoming.htm,https://www.chatnoir.eu/cache?uuid=5b9fec56-3e2c-5a6b-9eaf-9a763ad22b21&amp;index=cw12&amp;raw,becoming-a-paralegal.pdf,5b9fec56-3e2c-5a6b-9eaf-9a763ad22b21
best long term care insurance,health,http://web.archive.org/web/20120508085030/http://www.ltcis.com:80/pages/8-other_states.html,https://www.chatnoir.eu/cache?uuid=56ae4c47-6834-59ee-a211-78e084894b7b&amp;index=cw12&amp;raw,best-long-term-care-insurance.pdf,56ae4c47-6834-59ee-a211-78e084894b7b
border protection,politics,http://web.archive.org/web/20120618195705/http://www.thebta.org/tag/border-protection,https://www.chatnoir.eu/cache?uuid=3493ad75-29eb-5dd8-944d-43253a47f76b&amp;index=cw12&amp;raw,border-protection.pdf,3493ad75-29eb-5dd8-944d-43253a47f76b
bph treatment,health,http://web.archive.org/web/20120131201926/http://prostate.emedtv.com:80/bph/bph-treatment.html,https://www.chatnoir.eu/cache?uuid=fe1d23ee-3046-5383-ab7c-8fb804b42096&amp;index=cw12&amp;raw,bph-treatment.pdf,fe1d23ee-3046-5383-ab7c-8fb804b42096
capital gains tax rate,personal,http://web.archive.org/web/20120205034712/http://www.taxpolicycenter.org/publications/url.cfm?ID=1000588,https://www.chatnoir.eu/cache?uuid=f5d1deae-7427-5ccd-adb2-f48031494dbb&amp;index=cw12&amp;raw,capital-gains-tax-rate.pdf,f5d1deae-7427-5ccd-adb2-f48031494dbb
car radar detectors,crime,http://web.archive.org/web/20101125215339/http://www.1stradardetectors.com:80/blog/photo-radar/passport-9500ci-radar-detector.html,https://www.chatnoir.eu/cache?uuid=1307e3a2-2627-57d2-bcf1-22bc0ce6c938&amp;index=cw12&amp;raw,car-radar-detectors.pdf,1307e3a2-2627-57d2-bcf1-22bc0ce6c938
carotid cavernous fistula treatment,health,http://web.archive.org/web/20111018130354/http://cedars-sinai.edu/Patients/Health-Conditions/Carotid-Cavernous-Fistula-.aspx,https://www.chatnoir.eu/cache?uuid=2f54cd2a-db49-55d3-bb2b-e631ab13956d&amp;index=cw12&amp;raw,carotid-cavernous-fistula-treatment.pdf,2f54cd2a-db49-55d3-bb2b-e631ab13956d
carpal tunnel syndrome,health,http://web.archive.org/web/20120127203351/http://www.thestretchinghandbook.com:80/archives/carpal-tunnel-syndrome.php,https://www.chatnoir.eu/cache?uuid=ee7d00ff-c4e6-512b-ab3f-4e43a971015e&amp;index=cw12&amp;raw,carpal-tunnel-syndrome.pdf,ee7d00ff-c4e6-512b-ab3f-4e43a971015e
causes of military suicide,health,http://web.archive.org/web/20120427134824/http://blogs.extension.org:80/militaryfamilies/tag/suicide/,https://www.chatnoir.eu/cache?uuid=41021357-7eee-5e21-930d-717d558fcd11&amp;index=cw12&amp;raw,causes-of-military-suicide.pdf,41021357-7eee-5e21-930d-717d558fcd11
celebrity pictures,personal,http://web.archive.org/web/20120325031842/http://www.autographstore.com/rules.cfm,https://www.chatnoir.eu/cache?uuid=54876b5c-2295-546b-b0a8-2c9d0f405a88&amp;index=cw12&amp;raw,celebrity-pictures.pdf,54876b5c-2295-546b-b0a8-2c9d0f405a88
cheating husbands,personal,http://web.archive.org/web/20120420175046/http://www.globalinvestigations.co.uk:80/affairs-of-the-heart.php,https://www.chatnoir.eu/cache?uuid=63db8e13-1398-5662-9025-13e32096f44d&amp;index=cw12&amp;raw,cheating-husbands.pdf,63db8e13-1398-5662-9025-13e32096f44d
child kidnapping,crime,http://web.archive.org/web/20120213042846/http://www.crime-safety-security.com:80/child-safety-kidnap.html,https://www.chatnoir.eu/cache?uuid=afe807b9-ba14-58b4-9885-4377f01d1fac&amp;index=cw12&amp;raw,child-kidnapping.pdf,afe807b9-ba14-58b4-9885-4377f01d1fac
child protective service,crime,http://web.archive.org/web/20120401163221/http://dss.sd.gov/cps/protective/index.asp,https://www.chatnoir.eu/cache?uuid=c40746ca-34af-548d-9374-a2edc43dc9fc&amp;index=cw12&amp;raw,child-protective-service.pdf,c40746ca-34af-548d-9374-a2edc43dc9fc
cocaine smuggling,crime,http://web.archive.org/web/20120328063734/http://www.damncoolpictures.com:80/2010/07/cocaine-smuggling-submarine.html,https://www.chatnoir.eu/cache?uuid=d44db29c-c377-5a2c-a1da-1efb69c4ec0b&amp;index=cw12&amp;raw,cocaine-smuggling.pdf,d44db29c-c377-5a2c-a1da-1efb69c4ec0b
consumer boycott,politics,http://web.archive.org/web/20120412042436/http://www.ethicalconsumer.org:80/commentanalysis/academicresearch/consumerboycotts.aspx,https://www.chatnoir.eu/cache?uuid=e7fe57b7-4a5d-5429-8f81-d67573ebc9db&amp;index=cw12&amp;raw,consumer-boycott.pdf,e7fe57b7-4a5d-5429-8f81-d67573ebc9db
controlling acid rain,knowledge,http://web.archive.org/web/20120424052043/http://www.lakescientist.com/learn-about-lakes/water-quality/acid-rain.html,https://www.chatnoir.eu/cache?uuid=abea4183-b1c1-5b4d-9a9d-548e2373b15b&amp;index=cw12&amp;raw,controlling-acid-rain.pdf,abea4183-b1c1-5b4d-9a9d-548e2373b15b
cornea infection,health,http://web.archive.org/web/20110213035444/http://www.geisinger.org:80/services/eyes/cornea.html,https://www.chatnoir.eu/cache?uuid=2ae7822d-2bc6-5caf-871c-4cf1b548d282&amp;index=cw12&amp;raw,cornea-infection.pdf,2ae7822d-2bc6-5caf-871c-4cf1b548d282
credit card debt,personal,http://web.archive.org/web/20101102153300/http://www.totaldebtrelief.net:80/credit-card-debt/credit-card-debt-free/,https://www.chatnoir.eu/cache?uuid=0c54dcea-b6f6-577e-9c17-783e2e223719&amp;index=cw12&amp;raw,credit-card-debt.pdf,0c54dcea-b6f6-577e-9c17-783e2e223719
culpeper national cemetery,personal,http://web.archive.org/web/20120315224939/http://www.visitculpeperva.com:80/cemetery.cfm,https://www.chatnoir.eu/cache?uuid=454085e6-d55f-5f6d-a11d-fbfa28f78359&amp;index=cw12&amp;raw,culpeper-national-cemetery.pdf,454085e6-d55f-5f6d-a11d-fbfa28f78359
